%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084826444499637,2181,0,,421
1637084826536876314,2182,0,,411
1637084826618743235,2183,0,,392
1637084826747608989,2184,0,,427
1637084826833677265,2185,0,,458
1637084826926232110,2186,0,,462
1637084827023105874,2187,0,,459
1637084827093222861,2188,0,,453
1637084827182567897,2189,0,,448
1637084827276277037,2190,0,,438
1637084827392329483,2191,0,,456
1637084827485886326,2192,0,,485
1637084827570837529,2193,0,,508
1637084827753127466,2194,0,,526
1637084827899732413,2195,0,,524
1637084827981952260,2196,0,,528
1637084828074383064,2197,0,,541
1637084828174373817,2198,0,,523
1637084828254525981,2199,0,,520
1637084828343804197,2200,0,,527
1637084828436432961,2201,0,,522
1637084828529334055,2202,0,,525
1637084828671141810,2203,0,,530
1637084828711309676,2204,0,,527
1637084828844419611,2205,0,,552
1637084828932941142,2206,0,,558
1637084829037432565,2207,0,,594
1637084829129802693,2208,0,,609
1637084829220098234,2209,0,,632
1637084829298235985,2210,0,,651
1637084829387506495,2211,0,,653
1637084829480420611,2212,0,,653
1637084829603833281,2213,0,,668
1637084829720586137,2214,0,,667
1637084829817548613,2215,0,,664
1637084829902734463,2216,0,,665
1637084829959185322,2217,0,,668
1637084830051387728,2218,0,,664
1637084830127147205,2219,0,,666
1637084830237949964,2220,0,,672
1637084830329582769,2221,0,,685
1637084830418298385,2222,0,,697
1637084830540085242,2223,0,,723
1637084830633377639,2224,0,,746
1637084830724576082,2225,0,,761
1637084830859997526,2226,0,,778
1637084830964513259,2227,0,,777
1637084831071469455,2228,0,,781
1637084831161048872,2229,0,,785
1637084831255150050,2230,0,,805
1637084831340878449,2231,0,,799
1637084831467356096,2232,0,,789
1637084831537090074,2233,0,,786
1637084831623085155,2234,0,,784
1637084831709363330,2235,0,,784
1637084831752524634,2236,0,,783
1637084831866011534,2237,0,,794
1637084831958195091,2238,0,,800
1637084832012235779,2239,0,,808
1637084832123922203,2240,0,,846
1637084832197121411,2241,0,,853
1637084832288126497,2242,0,,873
1637084832383580546,2243,0,,884
1637084832478746383,2244,0,,890
1637084832553059345,2245,0,,883
1637084832701493976,2246,0,,893
1637084832799425592,2247,0,,892
1637084832885287509,2248,0,,890
1637084832979403123,2249,0,,894
1637084833061151195,2250,0,,893
1637084833225264524,2251,0,,886
1637084833311991497,2252,0,,889
1637084833468415802,2253,0,,913
1637084833582460437,2254,0,,928
1637084833675842597,2255,0,,940
1637084833772206314,2256,0,,967
1637084833868487342,2257,0,,981
1637084833959853347,2258,0,,981
1637084834043949954,2259,0,,977
1637084834123584847,2260,0,,982
1637084834216143280,2261,0,,974
1637084834304006811,2262,0,,987
1637084834387394347,2263,0,,988
1637084834425097171,2264,0,,988
1637084834499096936,2265,0,,988
1637084834562912097,2266,0,,988
1637084834622134082,2267,0,,988
1637084834677569888,2268,0,,988
1637084834789709966,2269,0,,975
1637084834876749271,2270,0,,983
1637084834970652417,2271,0,,988
1637084835063497820,2272,0,,1001
1637084835138620199,2273,0,,1007
1637084835225542925,2274,0,,1029
1637084835320376183,2275,0,,1043
1637084835405990916,2276,0,,1054
1637084835487924849,2277,0,,1065
1637084835572990374,2278,0,,1061
1637084835665044079,2279,0,,1060
1637084835734855999,2280,0,,1053
1637084835822628502,2281,0,,1055
1637084835895813521,2282,0,,1058
1637084835986235860,2283,0,,1061
1637084836083294333,2284,0,,1063
1637084836175462060,2285,0,,1057
1637084836301421787,2286,0,,1054
1637084836455628853,2287,0,,1057
1637084836542571927,2288,0,,1070
1637084836625421446,2289,0,,1073
1637084836714041992,2290,0,,1088
1637084836803674522,2291,0,,1105
1637084836845880064,2292,0,,1110
1637084836943157391,2293,0,,1124
1637084837021994264,2294,0,,1131
1637084837119394452,2295,0,,1140
1637084837213162210,2296,0,,1130
1637084837308159578,2297,0,,1128
1637084837394063949,2298,0,,1134
1637084837436841713,2299,0,,1128
1637084837611501054,2300,0,,1131
1637084837694659313,2301,0,,1124
1637084837773537372,2302,0,,1128
1637084837847545368,2303,0,,1125
1637084837943436599,2304,0,,1129
1637084838035489831,2305,0,,1124
1637084838126091343,2306,0,,1139
1637084838199627591,2307,0,,1142
1637084838286188227,2308,0,,1152
1637084838380646260,2309,0,,1167
1637084838478803283,2310,0,,1187
1637084838584321861,2311,0,,1205
1637084838674794025,2312,0,,1208
1637084838712853865,2313,0,,1207
1637084838819866379,2314,0,,1213
1637084838895749174,2315,0,,1221
1637084838976236224,2316,0,,1220
1637084839065891434,2317,0,,1206
1637084839158783396,2318,0,,1210
1637084839241180978,2319,0,,1203
1637084839326911635,2320,0,,1201
1637084839413566636,2321,0,,1194
