%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821700176768856,791,1635821700176326990,,-8.33524036407,0.962459981441
1635821700180956622,792,1635821700180430889,,-11.1601200104,-1.90214598179
1635821700185044099,793,1635821700184408903,,-2.21216011047,-1.42275202274
1635821700188997633,794,1635821700188385009,,16.8255004883,0.647885978222
1635821700193154174,795,1635821700192563056,,-11.7758398056,-3.33157205582
1635821700196846027,796,1635821700196223020,,26.9674797058,3.72897195816
1635821700201115259,797,1635821700200366973,,-24.0591506958,1.14916598797
1635821700205008997,798,1635821700204364061,,-1.87636995316,1.21632397175
1635821700209507138,799,1635821700208547115,,-12.6462602615,-4.67802810669
1635821700213054376,800,1635821700212471008,,19.9036998749,1.65787994862
1635821700216859440,801,1635821700216360092,,5.34829998016,-2.66595602036
1635821700221057028,802,1635821700220390081,,5.48389005661,3.24265193939
1635821700224945377,803,1635821700224386930,,8.65682029724,5.3492898941
1635821700228888845,804,1635821700228286027,,-0.461650013924,7.78621196747
1635821700232937557,805,1635821700232218980,,-20.1629695892,-0.227121993899
1635821700236829031,806,1635821700236248970,,0.0992600023746,-1.27692997456
1635821700240736805,807,1635821700240284919,,-0.148660004139,-2.40343999863
1635821700244761555,808,1635821700244251966,,-10.9401302338,-6.3228302002
1635821700248911158,809,1635821700248306035,,13.5419502258,-3.52210998535
1635821700252811346,810,1635821700252228021,,1.70832002163,0.852147996426
1635821700256850819,811,1635821700256203889,,-4.62792015076,-0.0932879969478
1635821700260724137,812,1635821700260144948,,-2.99411988258,-0.662379980087
1635821700264803111,813,1635821700264301061,,8.42133045197,3.20991206169
1635821700268803954,814,1635821700268254041,,7.71570014954,2.04466199875
1635821700272448066,815,1635821700272089004,,-21.7994308472,-2.65688800812
1635821700276513824,816,1635821700276112079,,-0.273420006037,-1.78598797321
1635821700280251637,817,1635821700279859066,,9.15402030945,0.643639981747
1635821700283971992,818,1635821700283771991,,-0.434460014105,-1.12751805782
1635821700287976740,819,1635821700287739992,,-0.226809993386,-2.71602010727
1635821700291853472,820,1635821700291691064,,0.101240001619,1.66411399841
1635821700295791031,821,1635821700295592069,,-7.99794006348,0.119209997356
1635821700299826434,822,1635821700299643039,,20.883890152,2.46518397331
1635821700303792472,823,1635821700303622007,,-24.6546401978,-2.37885189056
1635821700307691222,824,1635821700307554006,,40.4628791809,5.75908613205
1635821700311730178,825,1635821700311619043,,-12.7182102203,3.19519591331
1635821700315858063,826,1635821700315685987,,-17.4578304291,1.30321800709
1635821700319751839,827,1635821700319600105,,8.12444019318,-1.24867200851
1635821700323712342,828,1635821700323590040,,-7.6191701889,2.15842199326
1635821700327831437,829,1635821700327656030,,12.9857702255,-3.33699989319
1635821700331818171,830,1635821700331654071,,1.00048995018,-0.593259990215
1635821700335885829,831,1635821700335709095,,-23.4277305603,-1.78724002838
